station_name,station_id,lat,lon,state/territory
Hobart,094029, -42.89, 147.33,TAS
Melbourne,086338,-37.83, 144.98,VIC
Ballarat,089002, -37.51, 143.79,VIC
Shepparton,081049, -36.44, 145.27,VIC
Mildura,076031,-34.24, 142.09,VIC
Sale,085072, -38.12, 147.13,VIC
Albury,072023, -36.10, 147.03,VIC
Cape Otway,090015, -38.86, 143.51,VIC
Sydney,066062, -33.86, 151.21,NSW
Dubbo,065070,-32.22, 148.58,NSW
Wagga Wagga,072150,-35.16, 147.46,NSW
Newcastle,061055,-32.92, 151.80,NSW
Port Macquarie,060139, -31.43, 152.87,NSW
Coffs Harbour,059151,-30.32, 153.12,NSW
Bourke,048245, -30.04, 146.95,NSW
Moree,053115,-29.49, 149.85,NSW
Guyra,056229,-30.21, 151.68,NSW
Canberra,070351, -35.31, 149.20,ACT
Cairns,031011, -16.87, 145.75,QLD
Gold Coast,040764, -27.94, 153.43,QLD
Gympie,040093, -26.18, 152.64,QLD
Mackay,033119, -21.12, 149.22,QLD
Rockhampton,039083,-23.38, 150.48,QLD
Brisbane,040842, -27.39, 153.13,QLD
Townsville,032040, -19.25, 146.77,QLD
Longreach,036031,-23.44, 144.28,QLD
Mount Isa,029127,-20.28, 139.49,QLD
Roma,043091, -26.55, 148.77,QLD
Birdsville,038026, -25.90, 139.35,QLD
Adelaide,023000, -34.92, 138.62,SA
Ceduna,018012, -32.13, 133.70,SA
Oodnadatta,017043, -27.56, 135.45,SA
Port Lincoln,018192, -34.60, 135.88,SA
Mount Gambier,026021,-37.75, 140.77,SA
Woomera,016001,-31.16, 136.81,SA
Perth,009021,-31.93, 115.98,WA
Albany,009999, -34.94, 117.82,WA
Esperance,009789,-33.83, 121.89,WA
Geraldton,008315,-28.80, 114.70,WA
Port Hedland,004032, -20.37, 118.63,WA
Broome,003003, -17.95, 122.24,WA
Kalgoorlie,012038, -30.78, 121.45,WA
Bunbury,009965,-33.36, 115.64,WA
Darwin,014015, -12.42, 130.89,NT
Alice Springs,015590,-23.80, 133.89,NT
